Header||cmf||Activos Bancos 1||201912||202101||1145||18
Banco Bice||6228650||581742||1417929||121655||0||483||29315||14555||8593893||1640376||337738||459165||116390||21001||146445
Banco BTG Pactual Chile||904445||52784||292036||80069||21288||135||2249||10272||1518002||128374||0||0||0||0||8698
Banco Consorcio||3473357||208686||1794079||91376||18917||2448||8802||3741||5756872||98199||89823||44114||92849||66190||150776
Banco de Chile||30529608||2392166||3230201||2786215||142329||50758||220262||150665||41273333||11001240||1501999||1619220||688085||418768||885891
Banco de Crédito e Inversiones||34338923||3153760||6230655||4261289||196015||27823||250194||231344||50336620||9911054||1096327||1612780||1037530||461756||1402433
Banco del Estado de Chile||26273621||3972444||9340994||1477626||144806||18257||347674||98015||43354976||4445825||1011407||825760||568501||962250||2128764
Banco do Brasil S.A.||51145||3910||97165||0||0||0||50||510||152256||2650||14971||0||0||0||2111
Banco Falabella||3911440||180756||739838||411178||0||313||11276||26574||5359506||3347305||0||0||0||138933||260775
Banco Internacional||2014029||239458||467427||334834||54672||426||2369||23973||3309877||335643||53601||194415||24017||42803||121778
Banco Ripley||88894316||20015||171972||15287||0||12||3046||19540||1139141||1573372||0||0||0||54451||118587
Banco Santander-Chile||32731735||3554520||4280476||8148608||0||10467||197833||210500||50578246||11811021||1728485||1428814||489400||671336||1916609
Banco Security||6051817||693082||880357||274975||0||2095||22168||8206||8264770||1189866||216845||362922||0||93815||274793
Bank of China, Agencia en Chile||0||8931||31051||0||0||0||605||625||41735||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||224150||32417||9246||1414||0||0||150||774||270555||22287||40603||0||0||0||0
HSBC Bank (Chile)||221121||184328||501635||233785||0||273||899||2831||1263154||37786||19196||0||0||0||0
Itaú Corpbanca||23255995||1009681||3890288||3154957||75975||14938||57962||204559||33785687||5940086||1109169||1344909||221104||653664||1468776
JP Morgan Chase Bank, N.A.||0||338447||188543||270141||0||1016||1089||3362||848144||2000||0||0||0||0||0
Scotiabank Chile||25349436||1384762||1654381||4571759||23146||16709||112459||236637||34653490||6953725||2141608||750761||238789||480625||989022
