Header||cmf||Activos Bancos 2||202002||202101||1145||18
Banco Bice||0||0||0||0||0||0||0||0||0||0||6272589||88441||4962085||84399||1310504||4042||166470||107624||46367||12479||2606||1144034||1436||6272589
Banco BTG Pactual Chile||3000||0||0||0||0||0||0||0||0||3000||943921||14342||943921||14342||0||0||0||0||0||0||0||0||0||943921
Banco Consorcio||0||0||0||0||0||0||0||0||0||0||3614383||66352||3013100||61062||601283||5290||97409||93399||1927||2083||4399||503874||891||3614383
Banco de Chile||1103499||260013||260013||0||94||394357||316227||78130||777||450000||29950812||687990||16267780||338161||13683032||349829||4471667||3021923||1203167||246577||322179||9211365||27650||30605182
Banco de Crédito e Inversiones||509169||0||0||0||0||509750||509750||0||581||0||35270124||703010||22661285||378686||12608839||324324||3985291||2448302||1414979||122010||280450||8623548||43874||35779874
Banco del Estado de Chile||805473||0||0||0||0||810447||687204||16730||4974||0||25833992||834783||13336813||463988||12497179||370795||2228610||1795944||349082||83584||200115||10268569||170680||26644439
Banco do Brasil S.A.||6246||6251||6251||0||5||0||0||0||0||0||35184||1169||35184||1169||0||0||0||0||0||0||0||0||0||41435
Banco Falabella||0||0||0||0||0||0||0||0||0||0||3923207||240408||85000||3103||3838207||237305||3336839||1082717||2198593||55529||233064||501368||4241||3923207
Banco Internacional||0||0||0||0||0||0||0||0||0||0||2074845||34513||2023815||33608||51030||905||12881||10642||1148||1091||704||38149||201||2074845
Banco Ripley||0||0||0||0||0||0||0||0||0||0||877353||102077||1223||205||876130||101872||850248||130707||719541||0||101759||25882||113||877353
Banco Santander-Chile||15732||1||0||0||0||15747||0||15747||16||0||33771915||896661||16682293||525758||17089622||370903||5525686||3949534||1380451||195701||304728||11563936||66175||33787663
Banco Security||74||0||0||0||0||74||74||0||0||0||6135212||100774||4860605||76046||1274607||24728||539077||325810||128307||84960||23398||735530||1330||6135286
Bank of China, Agencia en Chile||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||6063||6076||6076||0||13||0||0||0||0||0||237360||2411||237360||2411||0||0||0||0||0||0||0||0||0||243436
HSBC Bank (Chile)||77619||16569||16569||0||6||61078||0||0||22||0||196292||9037||196143||9036||149||1||149||149||0||0||1||0||0||273939
Itaú Corpbanca||214403||0||0||0||0||65024||30453||0||627||150006||23383662||804458||15568416||552973||7815246||251485||2775665||1996111||544257||235297||205712||5039581||45773||23448686
JP Morgan Chase Bank, N.A.||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0||0
Scotiabank Chile||560193||0||0||0||0||2083||0||876||1||558111||25937560||542547||13150745||235874||12786815||306673||3412045||1716041||1593455||102549||259756||9374770||46917||25939643
