Header||cmf||Activos Bancos 1||201910||202101||1145||18
Banco Bice||6091514||558568||1115015||120135||11531||483||28089||15007||8282846||1651649||366591||510400||116722||20455||144938
Banco BTG Pactual Chile||828749||63025||178489||76482||52245||135||1859||10321||1531187||137454||0||0||0||0||8698
Banco Consorcio||3222371||99043||1734993||65893||8140||2299||8764||3640||5262126||95640||91734||44086||91419||30190||134642
Banco de Chile||30479328||1657366||3504743||2646675||77478||50165||220255||152478||39856700||10894134||1617817||1636064||624076||373288||835285
Banco de Crédito e Inversiones||33172635||2528920||6072130||3981427||143472||27118||271522||229103||48293759||9486959||1074974||1568251||851359||473545||1359220
Banco del Estado de Chile||25935440||3141290||8625489||1374391||99210||18190||356228||101421||41619027||4445872||964707||826358||512893||905665||2056795
Banco do Brasil S.A.||51179||2949||20711||0||0||0||56||530||73884||2446||13039||0||0||974||2161
Banco Falabella||3807584||121276||676738||377208||0||313||11387||28093||5174619||3241867||0||0||0||122693||243806
Banco Internacional||1944270||117412||398802||360327||0||417||2258||24220||3093286||332582||62926||196000||25208||66987||143888
Banco Ripley||897686||15704||140467||11843||0||12||3114||19806||1110574||1631391||0||0||0||48001||110086
Banco Santander-Chile||32221791||2444999||3396729||7483384||0||10261||187864||203906||47590399||11821730||1766442||1444992||597006||663778||1871455
Banco Security||5891748||558519||755658||275647||0||2095||22788||8404||7808357||1198759||243614||351502||0||91661||258505
Bank of China, Agencia en Chile||0||12922||33184||0||0||0||632||663||47916||0||0||0||0||0||0
China Construction Bank, Agencia en Chile||184861||59146||9333||1098||0||0||182||859||257760||29441||35641||0||0||0||0
HSBC Bank (Chile)||254396||202221||428892||219742||0||273||968||2905||1263842||33180||26265||0||0||0||0
Itaú Corpbanca||22832719||984711||3383851||3091635||126081||9840||55489||203543||32935856||5912158||1131102||1301030||168184||518075||1417128
JP Morgan Chase Bank, N.A.||0||240150||217774||295952||0||1016||919||4048||898525||2000||0||0||0||0||0
Scotiabank Chile||24506600||768875||1692619||4196126||11753||16708||110557||235538||33940064||6641581||2174001||754042||212039||439977||1049877
